chr	start	end	n_bases_covered	log2_mean_cov
chr1	38000000	38499999	63421	-2.9788926788531738
chr1	38500000	38999999	5358	-6.544086818088828
chr1	39000000	39499999	233212	-1.1002831846992236
chr1	39500000	39999999	72044	-2.7949750201398027
chr1	40000000	40499999	46365	-3.430817149464465
chr1	40500000	40999999	1854	-8.075140155305677
chr1	41000000	41499999	205371	-1.283692733339675
chr1	41500000	41999999	219936	-1.1848414399053757
chr1	42000000	42499999	131047	-1.9318408824183946
chr1	42500000	42999999	77780	-2.6844540696096364
chr1	43000000	43499999	21702	-4.526025300554276
chr1	43500000	43999999	77437	-2.6908302423808093
chr1	44000000	44499999	57203	-3.127762493538444
chr1	44500000	44999999	109671	-2.188743121194241
chr1	45000000	45499999	38907	-3.6838235615929906
chr1	45500000	45999999	113818	-2.1351964756003055
chr1	46000000	46499999	3074	-7.345664234240435
chr1	46500000	46999999	21927	-4.511144864973458
chr1	47000000	47499999	48350	-3.370337414679641
chr1	47500000	47999999	537433	0.10415970038413756
chr1	48000000	48499999	51328	-3.2841072574762866
chr1	48500000	48999999	42081	-3.570684315580942
chr1	49000000	49499999	51973	-3.266090967326937
chr1	49500000	49999999	97065	-2.3649021264410783
chr1	50000000	50499999	99731	-2.325811288276844
chr1	50500000	50999999	1401	-8.479324443500388
chr1	51000000	51499999	132	-11.887171564572753
chr1	51500000	51999999	2539	-7.621521004283701
chr1	52000000	52499999	15452	-5.016059721699276
chr1	52500000	52999999	18307	-4.771457910828634
chr1	53000000	53499999	107196	-2.221674136607572
chr1	53500000	53999999	64356	-2.957778645186451
chr1	54000000	54499999	15960	-4.969392652821499
chr1	54500000	54999999	124097	-2.0104569702343222
chr1	55000000	55499999	91143	-2.455721446286133
chr1	55500000	55999999	19061	-4.713229494829807
chr1	56000000	56499999	17308	-4.852414278509316
chr1	56500000	56999999	60439	-3.0483735139481083
chr1	57000000	57499999	37804	-3.7253144118705204
chr1	57500000	57999999	22970	-4.44410244766592
chr1	58000000	58499999	32941	-3.9239689523186283
chr1	58500000	58999999	30520	-4.034098342209314
chr1	59000000	59499999	50665	-3.302863844400965
chr1	59500000	59999999	56271	-3.1514617024182825
chr1	60000000	60499999	1090	-8.841453264266919
chr1	60500000	60999999	18417	-4.762815228707714
chr1	61000000	61499999	8469	-5.883589769760358
chr1	61500000	61999999	78527	-2.670664522113081
chr1	62000000	62499999	80965	-2.62655491785169
chr1	62500000	62999999	23271	-4.4253200969026665
chr1	63000000	63499999	55801	-3.1635623278091285
chr1	63500000	63999999	90594	-2.4644377999919924
chr1	64000000	64499999	27109	-4.205081408529988
chr1	64500000	64999999	48733	-3.3589542669140853
chr1	65000000	65499999	13565	-5.203964256761979
chr1	65500000	65999999	30973	-4.012842177245518
chr1	66000000	66499999	107551	-2.216904270615952
chr1	66500000	66999999	4545	-6.781501104849737
chr1	67000000	67499999	133108	-1.9093279273994574
chr1	67500000	67999999	19879	-4.6526081194799085
chr1	68000000	68499999	50946	-3.2948844260319365
chr1	68500000	68999999	77342	-2.692601232580968
chr1	69000000	69499999	9248	-5.756640001430529
chr1	69500000	69999999	38668	-3.6927131576155516
chr1	70000000	70499999	20198	-4.629640859569653
chr1	70500000	70999999	41055	-3.606295368957732
chr1	71000000	71499999	30886	-4.016900262611093
chr1	71500000	71999999	53035	-3.2369085360056813
chr1	72000000	72499999	29910	-4.063225393924492
chr1	72500000	72999999	63640	-2.973919468712797
chr1	73000000	73499999	19984	-4.645007922323249
chr1	73500000	73999999	41383	-3.594815069327871
chr1	74000000	74499999	47985	-3.3812698112070145
chr1	74500000	74999999	44378	-3.494008653861238
chr1	75000000	75499999	180274	-1.4717338702719844
chr1	75500000	75999999	42558	-3.5544229509552423
chr1	76000000	76499999	74669	-2.7433438944170705
chr1	76500000	76999999	820	-9.25208558442576
chr1	77000000	77499999	34945	-3.8387672576863108
chr1	77500000	77999999	19066	-4.712851102863704
chr1	78000000	78499999	10632	-5.555440294655033
chr1	78500000	78999999	13936	-5.165036775332342
chr1	79000000	79499999	22708	-4.46065265765633
chr1	79500000	79999999	7164	-6.125016061945246
chr1	80000000	80499999	2397	-7.704551490282074
chr1	80500000	80999999	33649	-3.893289673735707
chr1	81000000	81499999	3774	-7.0496869763307615
chr1	81500000	81999999	43808	-3.5126589526733074
chr1	82000000	82499999	32419	-3.9470137143681114
chr1	82500000	82999999	32583	-3.9397338617869693
chr1	83000000	83499999	39015	-3.6798244043796973
chr1	83500000	83999999	26882	-4.217212826877297
chr1	84000000	84499999	10854	-5.5256264905888095
chr1	84500000	84999999	33842	-3.885038472779111
chr1	85000000	85499999	22323	-4.4853223796213415
chr1	85500000	85999999	113947	-2.133562267709063
chr1	86000000	86499999	35532	-3.8147344080324967
chr1	86500000	86999999	24795	-4.333804079030375
chr1	87000000	87499999	68561	-2.8664651522749915
chr1	87500000	87999999	111010	-2.1712355662470744
chr1	88000000	88499999	41671	-3.5848095828454904
chr1	88500000	88999999	3109	-7.329330782590143
chr1	89000000	89499999	38661	-3.6929743498025402
chr1	89500000	89999999	8621	-5.857926173647977
chr1	90000000	90499999	14695	-5.088527945392512
chr1	90500000	90999999	1469	-8.410947003374927
chr1	91000000	91499999	75836	-2.720970433662884
chr1	91500000	91999999	83131	-2.5884667382597293
chr1	92000000	92499999	58589	-3.0932234782173067
chr1	92500000	92999999	23450	-4.414265381641106
chr1	93000000	93499999	1256	-8.63694493503958
chr1	93500000	93999999	128785	-1.9569606415529608
chr1	94000000	94499999	27057	-4.2078514179518764
chr1	94500000	94999999	30910	-4.015779650185621
chr1	95000000	95499999	90188	-2.470917816490788
chr1	95500000	95999999	3812	-7.035233280021265
chr1	96000000	96499999	18116	-4.786588859881095
chr1	96500000	96999999	113375	-2.1408226587405976
chr1	97000000	97499999	18355	-4.767680189944297
chr1	97500000	97999999	11704	-5.4168516297927205
chr1	98000000	98499999	72041	-2.7950350969711635
chr1	98500000	98999999	262464	-0.9298056556039906
chr1	99000000	99499999	40152	-3.6383814531716983
chr1	99500000	99999999	28263	-4.144938694498638
chr1	100000000	100499999	34473	-3.85838645021408
chr1	100500000	100999999	124514	-2.0056172455541135
chr1	101000000	101499999	106967	-2.2247594248252076
chr1	101500000	101999999	54187	-3.20590652817367
chr1	102000000	102499999	150141	-1.7356072124183275
chr1	102500000	102999999	376850	-0.40793481681955585
chr1	103000000	103499999	74830	-2.74023652926575
chr1	103500000	103999999	9476	-5.721503200690975
chr1	104000000	104499999	130375	-1.9392579567493542
chr1	104500000	104999999	50566	-3.305685645125676
chr1	105000000	105499999	6138	-6.348012753464722
chr1	105500000	105999999	67929	-2.87982568831796
chr1	106000000	106499999	91037	-2.4574002879986305
chr1	106500000	106999999	77804	-2.6840089765247948
chr1	107000000	107499999	87489	-2.5147516662145506
chr1	107500000	107999999	39884	-3.6480431982871813
chr1	108000000	108499999	19310	-4.694505140093194
chr1	108500000	108999999	102818	-2.281832355103717
chr1	109000000	109499999	65229	-2.9383397930780744
chr1	109500000	109999999	50692	-3.302095219303036
chr1	110000000	110499999	1327	-8.557613028561013
chr1	110500000	110999999	14190	-5.138978714983293
chr1	111000000	111499999	88570	-2.497035185514997
chr1	111500000	111999999	40996	-3.6083701522530687
chr1	112000000	112499999	273286	-0.8715136546750322
chr1	112500000	112999999	113949	-2.1335369457193667
chr1	113000000	113499999	1523	-8.358865457443915
chr1	113500000	113999999	4284	-6.866822919180951
chr1	114000000	114499999	12801	-5.28759678800894
chr1	114500000	114999999	9702	-5.687499219736389
chr1	115000000	115499999	115384	-2.1154820264210388
chr1	115500000	115999999	304684	-0.7146114683368506
chr1	116000000	116499999	123381	-2.0188049650577655
chr1	116500000	116999999	110371	-2.1795640559670444
chr1	117000000	117499999	50607	-3.3045163509480906
chr1	117500000	117999999	128989	-1.954677169598587
chr1	118000000	118499999	31060	-4.0087954746565435
chr1	118500000	118999999	10644	-5.553812888908987
chr1	119000000	119499999	63836	-2.9694830500796434
chr1	119500000	119999999	31514	-3.987860420419447
chr1	120000000	120499999	128575	-1.959315055804025
chr1	120500000	120999999	3362	-7.216461674695039
chr1	121000000	121499999	7191	-6.119588989560918
chr1	121500000	121999999	0	-inf
chr1	122000000	122499999	5364	-6.5424721620267325
chr1	122500000	122999999	0	-inf
chr1	123000000	123499999	0	-inf
chr1	123500000	123999999	301	-10.697946007171504
chr1	124000000	124499999	0	-inf
chr1	124500000	124999999	13274	-5.2352501250383865
chr1	125000000	125499999	188859	-1.4046156730237844
chr1	125500000	125999999	0	-inf
chr1	126000000	126499999	0	-inf
chr1	126500000	126999999	0	-inf
chr1	127000000	127499999	0	-inf
chr1	127500000	127999999	0	-inf
chr1	128000000	128499999	0	-inf
chr1	128500000	128999999	0	-inf
chr1	129000000	129499999	0	-inf
chr1	129500000	129999999	0	-inf
chr1	130000000	130499999	0	-inf
chr1	130500000	130999999	0	-inf
chr1	131000000	131499999	0	-inf
chr1	131500000	131999999	0	-inf
chr1	132000000	132499999	0	-inf
chr1	132500000	132999999	0	-inf
chr1	133000000	133499999	0	-inf
chr1	133500000	133999999	0	-inf
chr1	134000000	134499999	0	-inf
chr1	134500000	134999999	0	-inf
chr1	135000000	135499999	0	-inf
chr1	135500000	135999999	0	-inf
chr1	136000000	136499999	0	-inf
chr1	136500000	136999999	0	-inf
chr1	137000000	137499999	0	-inf
chr1	137500000	137999999	0	-inf
chr1	138000000	138499999	0	-inf
chr1	138500000	138999999	0	-inf
chr1	139000000	139499999	0	-inf
chr1	139500000	139999999	0	-inf
chr1	140000000	140499999	0	-inf
chr1	140500000	140999999	0	-inf
chr1	141000000	141499999	0	-inf
chr1	141500000	141999999	0	-inf
chr1	142000000	142499999	0	-inf
chr1	142500000	142999999	0	-inf
chr1	143000000	143499999	226777	-1.1406508816858685
chr1	143500000	143999999	56414	-3.1478000704070386
chr1	144000000	144499999	3850	-7.0209229534615805
chr1	144500000	144999999	160	-11.609637589043844
chr1	145000000	145499999	45151	-3.469095363650941
chr1	145500000	145999999	15452	-5.016059721699276
chr1	146000000	146499999	5042	-6.631785281072667
chr1	146500000	146999999	86370	-2.533323014759254
chr1	147000000	147499999	53032	-3.2369901464052178
chr1	147500000	147999999	26076	-4.261130724028768
chr1	148000000	148499999	19251	-4.698919915323851
chr1	148500000	148999999	1706	-8.195163752612917
chr1	149000000	149499999	6580	-6.247693815308603
chr1	149500000	149999999	48922	-3.3533699199134004
chr1	150000000	150499999	81532	-2.616486899266644
chr1	150500000	150999999	52687	-3.246406269448143
chr1	151000000	151499999	40361	-3.6308913847152784
chr1	151500000	151999999	1135	-8.78308910175293
chr1	152000000	152499999	43529	-3.521876427182946
chr1	152500000	152999999	38156	-3.711943366860044
chr1	153000000	153499999	17046	-4.87442006702051
chr1	153500000	153999999	18766	-4.7357321339756195
chr1	154000000	154499999	135189	-1.8869474416839835
chr1	154500000	154999999	113227	-2.1427071866477845
chr1	155000000	155499999	6647	-6.2330780453735155
chr1	155500000	155999999	47471	-3.3968068632125745
chr1	156000000	156499999	9747	-5.680823154880567
chr1	156500000	156999999	21706	-4.525759414994938
chr1	157000000	157499999	11771	-5.4086164152919425
chr1	157500000	157999999	510614	0.030307884564149103
chr1	158000000	158499999	53618	-3.2211358978903575
chr1	158500000	158999999	26954	-4.213353918159165
chr1	159000000	159499999	1228	-8.669470838561027
chr1	159500000	159999999	9886	-5.660394492791434
chr1	160000000	160499999	384	-10.34660318321005
chr1	160500000	160999999	103202	-2.276454279797928
chr1	161000000	161499999	14029	-5.155441128386025
chr1	161500000	161999999	31077	-4.0080060636355075
chr1	162000000	162499999	54694	-3.1924707281285385
chr1	162500000	162999999	2796	-7.482417038555771
chr1	163000000	163499999	10262	-5.606541373739791
chr1	163500000	163999999	136687	-1.8710491715787936
chr1	164000000	164499999	10241	-5.609496707735116
chr1	164500000	164999999	2695	-7.535496126291339
chr1	165000000	165499999	194221	-1.3642260099839363
chr1	165500000	165999999	46521	-3.42597119554279
chr1	166000000	166499999	35650	-3.809951227712594
chr1	166500000	166999999	85383	-2.549904450661439
chr1	167000000	167499999	23388	-4.418084807952161
chr1	167500000	167999999	36655	-3.7698432988412875
chr1	168000000	168499999	256806	-0.961246299599898
chr1	168500000	168999999	261339	-0.9360027732860448
chr1	169000000	169499999	21262	-4.5555759947013055
chr1	169500000	169999999	86855	-2.5252444011274866
chr1	170000000	170499999	14412	-5.116582747504417
chr1	170500000	170999999	29785	-4.069267345300278
chr1	171000000	171499999	15663	-4.996492739862123
chr1	171500000	171999999	80944	-2.626929160123936
chr1	172000000	172499999	2109	-7.889222304137515
chr1	172500000	172999999	7099	-6.138165585447387
chr1	173000000	173499999	61983	-3.011980720797085
chr1	173500000	173999999	48580	-3.36349081440798
chr1	174000000	174499999	19598	-4.673146871332375
chr1	174500000	174999999	12009	-5.3797372828225125
chr1	175000000	175499999	73577	-2.76459845075852
chr1	175500000	175999999	252831	-0.9837518440634619
chr1	176000000	176499999	152757	-1.7106867172808624
chr1	176500000	176999999	2103	-7.893332549199427
chr1	177000000	177499999	43558	-3.520915591289363
chr1	177500000	177999999	100529	-2.3143134680802824
chr1	178000000	178499999	28717	-4.12194826243484
chr1	178500000	178999999	8139	-5.9409298509281845
chr1	179000000	179499999	48529	-3.365006172487045
chr1	179500000	179999999	12928	-5.273354201179412
chr1	180000000	180499999	67724	-2.884186118364097
chr1	180500000	180999999	8467	-5.883930510206176
chr1	181000000	181499999	248406	-1.0092251886505583
chr1	181500000	181999999	31503	-3.988364082783919
chr1	182000000	182499999	22022	-4.504907806457916
chr1	182500000	182999999	138856	-1.848335691803066
chr1	183000000	183499999	662631	0.4062804893970586
chr1	183500000	183999999	1992	-7.971563751863126
chr1	184000000	184499999	108328	-2.2065190188094523
chr1	184500000	184999999	58354	-3.099021752435873
chr1	185000000	185499999	18898	-4.725619744155446
chr1	185500000	185999999	4753	-6.716942997628871
chr1	186000000	186499999	20111	-4.635868484341079
chr1	186500000	186999999	2246	-7.798423471530605
chr1	187000000	187499999	85630	-2.5457369789149507
chr1	187500000	187999999	49634	-3.332524578386177
chr1	188000000	188499999	57300	-3.125318165399577
chr1	188500000	188999999	7749	-6.01177125509205
chr1	189000000	189499999	114807	-2.1227146009528632
chr1	189500000	189999999	39775	-3.6519913738254344
chr1	190000000	190499999	14432	-5.114582060675826
chr1	190500000	190999999	27030	-4.209291792509149
chr1	191000000	191499999	48223	-3.374131899179753
chr1	191500000	191999999	17538	-4.833369069403998
chr1	192000000	192499999	105200	-2.24879050486418
chr1	192500000	192999999	12482	-5.3240041875770014
chr1	193000000	193499999	14421	-5.115682095072155
chr1	193500000	193999999	10247	-5.608651708663191
chr1	194000000	194499999	1040	-8.909197870902753
chr1	194500000	194999999	11981	-5.38310497598531
chr1	195000000	195499999	7256	-6.106606943402684
chr1	195500000	195999999	29607	-4.077914990981861
chr1	196000000	196499999	80968	-2.6265014625939824
chr1	196500000	196999999	16061	-4.960291582751501
chr1	197000000	197499999	31194	-4.0025847433287245
chr1	197500000	197999999	6667	-6.228743672154178
chr1	198000000	198499999	19171	-4.704927711381264
chr1	198500000	198999999	223894	-1.1591093426983914
chr1	199000000	199499999	1071	-8.866822919180951
chr1	199500000	199999999	52503	-3.251453444241706
chr1	200000000	200499999	48308	-3.371591179407462
chr1	200500000	200999999	67033	-2.8989818026082284
chr1	201000000	201499999	400005	-0.3219071759190937
chr1	201500000	201999999	30265	-4.046202953333647
chr1	202000000	202499999	1345	-8.53817522648722
chr1	202500000	202999999	122947	-2.023888676983552
chr1	203000000	203499999	91194	-2.45491439726148
chr1	203500000	203999999	30789	-4.021438293720995
chr1	204000000	204499999	89842	-2.476463260014066
chr1	204500000	204999999	25267	-4.306598923915986
chr1	205000000	205499999	5211	-6.584221144499658
chr1	205500000	205999999	17872	-4.806152213447892
chr1	206000000	206499999	88472	-2.498632367296128
chr1	206500000	206999999	79961	-2.6445567897026736
chr1	207000000	207499999	271142	-0.8828766049926154
chr1	207500000	207999999	13049	-5.259914053166627
chr1	208000000	208499999	88668	-2.4954397699899338
chr1	208500000	208999999	27877	-4.164777991310251
chr1	209000000	209499999	58444	-3.0967983825257948
chr1	209500000	209999999	70597	-2.8242464265096894
chr1	210000000	210499999	17573	-4.830492800248673
chr1	210500000	210999999	30410	-4.039307488013047
chr1	211000000	211499999	74433	-2.7479109198624703
chr1	211500000	211999999	7854	-5.99235380126481
chr1	212000000	212499999	2713	-7.525892351649341
chr1	212500000	212999999	1829	-8.09472632418249
chr1	213000000	213499999	61076	-3.0332477243872993
chr1	213500000	213999999	685615	0.45547346382545334
chr1	214000000	214499999	55987	-3.1587614274399494
chr1	214500000	214999999	129106	-1.9533691602892511
chr1	215000000	215499999	1920	-8.024675088322688
chr1	215500000	215999999	44966	-3.4750187511915733
chr1	216000000	216499999	55958	-3.159508904453156
chr1	216500000	216999999	10197	-5.615708536668379
chr1	217000000	217499999	1615	-8.27424723434992
chr1	217500000	217999999	29207	-4.0975391251737525
chr1	218000000	218499999	2099	-7.896079232639052
chr1	218500000	218999999	918	-9.089215340517399
chr1	219000000	219499999	20970	-4.575526442947252
chr1	219500000	219999999	22285	-4.48778034343119
chr1	220000000	220499999	161464	-1.630712671887757
chr1	220500000	220999999	14757	-5.082453843486722
chr1	221000000	221499999	275404	-0.8603756959973509
chr1	221500000	221999999	12659	-5.303689861070667
chr1	222000000	222499999	12238	-5.352485500096449
chr1	222500000	222999999	46510	-3.4263123645192333
chr1	223000000	223499999	16769	-4.898056646371375
chr1	223500000	223999999	3136	-7.316855839815998
chr1	224000000	224499999	127962	-1.966209762947764
chr1	224500000	224999999	269819	-0.8899332665431334
chr1	225000000	225499999	16490	-4.922261905606377
chr1	225500000	225999999	64860	-2.9465242805880383
chr1	226000000	226499999	18922	-4.723788719003194
chr1	226500000	226999999	39346	-3.6676363287122395
chr1	227000000	227499999	95541	-2.387733327222038
chr1	227500000	227999999	146015	-1.7758086259094878
chr1	228000000	228499999	2893	-7.433215076001607
chr1	228500000	228999999	147781	-1.7584644134055405
chr1	229000000	229499999	72061	-2.794634632008803
chr1	229500000	229999999	150710	-1.7301500628190067
chr1	230000000	230499999	8149	-5.939158368582709
chr1	230500000	230999999	18909	-4.724780235815849
chr1	231000000	231499999	37011	-3.755899188047849
chr1	231500000	231999999	49547	-3.3350555974472837
chr1	232000000	232499999	98088	-2.349776655189392
chr1	232500000	232999999	13535	-5.207158416828881
chr1	233000000	233499999	10778	-5.53576381254146
chr1	233500000	233999999	3918	-6.99566400166362
chr1	234000000	234499999	81125	-2.6237067312699813
chr1	234500000	234999999	3271	-7.256049639848428
chr1	235000000	235499999	13840	-5.1750093614071195
chr1	235500000	235999999	9249	-5.756484009102875
chr1	236000000	236499999	11799	-5.40518871226714
chr1	236500000	236999999	129355	-1.9505893894432118
chr1	237000000	237499999	31192	-4.0026772445335705
chr1	237500000	237999999	38715	-3.6909606622287185
chr1	238000000	238499999	41503	-3.5906376804838
chr1	238500000	238999999	136105	-1.8772051423387148
chr1	239000000	239499999	79910	-2.645477249943508
chr1	239500000	239999999	69812	-2.840378261464102
chr1	240000000	240499999	194194	-1.3644265829080857
chr1	240500000	240999999	24290	-4.36349081440798
chr1	241000000	241499999	38832	-3.6866072907800733
chr1	241500000	241999999	178268	-1.487877454285814
chr1	242000000	242499999	1195	-8.708770781063096
chr1	242500000	242999999	43665	-3.5173759641999225
chr1	243000000	243499999	38714	-3.6909979272080147
chr1	243500000	243999999	241175	-1.051844843074452
chr1	244000000	244499999	78049	-2.6794731565383825
chr1	244500000	244999999	112871	-2.1472503480998166
chr1	245000000	245499999	19384	-4.688986994479861
chr1	245500000	245999999	54321	-3.2023432658565234
chr1	246000000	246499999	28368	-4.139588863032518
chr1	246500000	246999999	42369	-3.5608442260001363
chr1	247000000	247499999	82345	-2.6021722524167896
chr1	247500000	247999999	128400	-1.9612800070341792
chr1	248000000	248499999	6744	-6.212176862989125
chr1	248500000	248999999	670	-9.543548398586072
chr1	248500000	248956421	670	-9.411988360864793
chr2	0	499999	32685	-3.9352246072067816
chr2	500000	999999	20807	-4.58678433532601
chr2	1000000	1499999	98677	-2.341139449211027
chr2	1500000	1999999	92964	-2.4271811588749985
chr2	2000000	2499999	8911944	4.155743052633735
chr2	2500000	2999999	45936	-3.444228068724025
chr2	3000000	3499999	2218099	2.149326643868974
chr2	3500000	3999999	52682	-3.2465431878057216
chr2	4000000	4499999	48532	-3.364916989702527
chr2	4500000	4999999	67747	-2.88369624250492
chr2	5000000	5499999	63746	-2.971518487292069
chr2	5500000	5999999	58128	-3.104620033515722
chr2	6000000	6499999	21221	-4.5583606622172885
chr2	6500000	6999999	125233	-1.9973104342597185
chr2	7000000	7499999	23009	-4.441655020793292
chr2	7500000	7999999	100652	-2.312549369958296
chr2	8000000	8499999	55579	-3.169313427166413
chr2	8500000	8999999	60439	-3.0483735139481083
chr2	9000000	9499999	112686	-2.1496169218919254
chr2	9500000	9999999	47172	-3.4059225347859567
chr2	10000000	10499999	1877980	1.909184584138403
chr2	10500000	10999999	1875239	1.9070773648100852
chr2	11000000	11499999	592	-9.722112318302257
chr2	11500000	11999999	24764	-4.335608939988044
chr2	12000000	12499999	4130	-6.9196396176244
chr2	12500000	12999999	10065	-5.634506132122505
chr2	13000000	13499999	367	-10.411929431087994
chr2	13500000	13999999	3649293	2.8676198742646486
chr2	14000000	14499999	133384	-1.906339590236215
chr2	14500000	14999999	55103	-3.181722438084372
chr2	15000000	15499999	109088	-2.1964327997912605
chr2	15500000	15999999	15119770	4.9183671739145005
chr2	16000000	16499999	24378866	5.607561999830497
chr2	16500000	16999999	82825	-2.593787006075468
chr2	17000000	17499999	451777	-0.14631438460353682
chr2	17500000	17999999	369728	-0.4354609045910814
chr2	18000000	18499999	70643	-2.823306693088175
chr2	18500000	18999999	19119	-4.708846237797907
chr2	19000000	19499999	174510	-1.5186154994947398
chr2	19500000	19999999	60668	-3.0429175525566934
chr2	20000000	20499999	21576	-4.534425877695603
chr2	20500000	20999999	135326	-1.8854861605165831
chr2	21000000	21499999	271675	-0.8800433971014646
chr2	21500000	21999999	32288	-3.95285522482485
chr2	22000000	22499999	59417	-3.0729775399082726
chr2	22500000	22999999	58429	-3.09716870630857
chr2	23000000	23499999	47359	-3.400214686047333
chr2	23500000	23999999	28682	-4.123707677500932
chr2	24000000	24499999	50794	-3.2991952145000005
chr2	24500000	24999999	25253	-4.307398517387461
chr2	25000000	25499999	10290	-5.602610322149876
chr2	25500000	25999999	80283	-2.6387587763177978
chr2	26000000	26499999	102550	-2.2855977176766302
chr2	26500000	26999999	3639	-7.10223934808954
chr2	27000000	27499999	97908	-2.352426558048318
chr2	27500000	27999999	57039	-3.131904615511727
chr2	28000000	28499999	18763	-4.735962786811127
chr2	28500000	28999999	13230	-5.2400402427651676
chr2	29000000	29499999	228825	-1.1276805288566698
chr2	29500000	29999999	53938	-3.21255127638584
chr2	30000000	30499999	41876	-3.577729661916464
chr2	30500000	30999999	36516	-3.7753245646954547
chr2	31000000	31499999	9278	-5.7519675530813705
chr2	31500000	31999999	1678	-8.219038683491384
chr2	32000000	32499999	70927	-2.8175183771845513
chr2	32500000	32999999	21135	-4.564219192013052
chr2	33000000	33499999	53897	-3.213648332063991
chr2	33500000	33999999	3395	-7.202369824799113
chr2	34000000	34499999	144790	-1.7879632441492437
chr2	34500000	34999999	3245	-7.267562921044706
chr2	35000000	35499999	9519	-5.714971377292413
chr2	35500000	35999999	46535	-3.4255370971348458
chr2	36000000	36499999	56415	-3.147774497282382
chr2	36500000	36999999	50406	-3.310257831469304
chr2	37000000	37499999	40749	-3.6170886490317344
chr2	37500000	37999999	2644	-7.563059222423515
chr2	38000000	38499999	24028	-4.379136735404737
chr2	38500000	38999999	4110	-6.926643005362162
chr2	39000000	39499999	87176	-2.5199222960621266
chr2	39500000	39999999	8767	-5.833698151303438
chr2	40000000	40499999	2501350	2.322709825333166
chr2	40500000	40999999	2821	-7.4695747333456355
chr2	41000000	41499999	361416	-0.4682648333148539
chr2	41500000	41999999	212394	-1.2351821980251627
